0,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397099
1,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12239864
2,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397126
3,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12239870
4,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397133
5,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12239871
6,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397159
7,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12236107
8,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397147
9,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12239872
10,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397171
11,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12239873
12,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397143
13,0,1,0,0,0,0,0,0,0,0,0,0,0,3A12242448
14,1,0,0,0,0,0,0,0,0,0,0,0,0,2A2397340
